pacote;artefato_stitch;arquivo;bytes;largura;altura;sha256
03_import_integrations;hist_rico_e_auditoria_de_importa_es;hist_rico_e_auditoria_de_importa_es.png;234260;1600;1280;4a326a757eef8b5e3a9450142a011c5d0300c0f5e1aaa5a2b67e0ded644c968d
03_import_integrations;importa_es_e_concilia_o_central;importa_es_e_concilia_o_central.png;252049;1600;1280;bb8684af0b1f81062f1360936da7d1e062ba40ca22b5a08cf544b62a3e88f91f
03_import_integrations;importa_es_e_concilia_o_central_mobile;importa_es_e_concilia_o_central_mobile.png;171786;706;1600;b0bca8c576fa39c8612561b64bc130a7f51d561d4e6ca10f2fc24c3eed04d309
03_import_integrations;importa_o_de_arquivo_assistente;importa_o_de_arquivo_assistente.png;244387;1600;1280;d64abd8e8618eccb07f415c32a1be07cbe4550721ac005f42cd9ad1b64ecc450
03_import_integrations;integra_o_pluggy_vis_o_geral;integra_o_pluggy_vis_o_geral.png;232194;1600;1280;c5eae49c27d2a26f304be4c9e59d12837b11a9684de2c6ff1e974f63a747a2a0
03_import_integrations;regras_de_importa_o_e_categoriza_o;regras_de_importa_o_e_categoriza_o.png;259676;1600;1280;fb8edce98eb1fe94f9c4c6eab5ddc40afeea308005cb6fa32803414db417e25f
03_import_integrations;revis_o_do_lote_importado;revis_o_do_lote_importado.png;290027;1600;1280;0cbcdcc36cbe35e0f5f461d7e985669189a9e31e3cd00899c09fe08f3008aa3f
03_import_integrations;revisar_contas_encontradas;revisar_contas_encontradas.png;253564;1600;1280;6011c78d7b1dbe876f7bfdd343042817ba4e747b0b437f95666e0d6122e94231
03_import_integrations;sa_de_diagn_stico_e_auditoria;sa_de_diagn_stico_e_auditoria.png;251017;1600;1280;03ff188ae21874fba7cbc6291b322c3dd4a30e9b397887f7789e26063aec276d
04_loans_assets;amortiza_o_quita_o_e_cen_rios;amortiza_o_quita_o_e_cen_rios.png;268315;1600;1280;b26484e4c9cd48b96844e8c88aa7cc851deb0a5b5b1056c741722c38e667815d
04_loans_assets;bens_e_direitos;bens_e_direitos.png;105973;1396;1117;bfc5a178f239c8af89a9992750eeecf4895658879992635ac5afe1c06d095a04
04_loans_assets;cadastrar_contrato_assistente;cadastrar_contrato_assistente.png;145258;1600;1280;63e2d282a558633f722a7595b1a3af7a081c0cba48762e0fb422e7ba973707ef
